0.9706	0.5436	2.648131068
0.3118	0.2072	0.499000359
0.0016	0.7336	0.929033604
0.5776	0.0196	0.565137529
0.8065	0.2327	1.586274635
0.0018	0.2804	0.482179086
0.3887	0.5479	1.005421065
0.1765	0.6129	0.886804212
0.4267	0.975	1.259138392
0.4546	0.3942	0.933615683
0.193	0.4778	0.771745217
0.7594	0.4849	1.749297491
0.051	0.1496	0.279553491
0.5637	0.5859	1.32539889
0.5101	0.7575	1.334124805
0.0184	0.8637	0.9817671
0.4943	0.4576	1.07090828
0.3986	0.416	0.881156309
0.5114	0.8338	1.367653942
0.8744	0.4543	2.135331565
0.0583	0.0478	0.096912205
0.2447	0.0666	0.203294699
0.8123	0.4017	1.837849357
0.6363	0.0348	0.730890324
0.3356	0.97	1.149525102
0.1948	0.1558	0.332665483
0.4806	0.1198	0.567231559
0.3968	0.204	0.586310495
0.4162	0.9078	1.23681678
0.2288	0.1532	0.347256752
0.9785	0.8654	2.876221902
0.2467	0.9408	1.072370632
0.2884	0.1788	0.432792663
0.1392	0.909	1.013792868
0.4613	0.262	0.766317264
0.689	0.1365	1.056171519
0.2936	0.7263	1.036597872
0.0193	0.119	0.224218679
0.0695	0.2624	0.461112192
0.1586	0.2482	0.463940138
0.1021	0.8392	0.985632102
0.7723	0.9159	2.050010722
0.9671	0.8688	2.822580589
0.5912	0.3642	1.151910511
0.1506	0.1754	0.346130862
0.533	0.1357	0.688493947
0.9592	0.5279	2.579712233
0.4533	0.9647	1.297379287
0.2031	0.4748	0.773792366
0.3983	0.7307	1.149307863
